apk_id,apk_hash,apk_is_mal,apk_accept,apk_access,apk_bind,apk_chdir,apk_chmod,apk_chown,apk_chroot,apk_close,apk_connect,apk_dup2,apk_dup,apk_fchdir,apk_fchmod,apk_fchown,apk_fcntl,apk_flock,apk_fpathconf,apk_fstat,apk_fstatfs,apk_fsync,apk_ftruncate,apk_getdirentries,apk_getdomainname,apk_getfh,apk_getfsstat,apk_gethostname,apk_getpeername,apk_getrlimit,apk_getsockname,apk_getsockopt,apk_gettimeofday,apk_hostname,apk_ioctl,apk_link,apk_listen,apk_lseek,apk_lstat,apk_mkdir,apk_mkfifo,apk_mknod,apk_mmap,apk_mount,apk_mq_close,apk_mq_getattr,apk_mq_open,apk_mq_receive,apk_mq_send,apk_mq_setattr,apk_mq_unlink,apk_munmap,apk_nfssvc,apk_open,apk_pipe,apk_read,apk_readlink,apk_readv,apk_recv,apk_recvfrom,apk_recvmsg,apk_rename,apk_rmdir,apk_select,apk_send,apk_sendmsg,apk_sendto,apk_sethostname,apk_setrlimit,apk_setsockopt,apk_settimeofday,apk_shm_open,apk_shm_unlink,apk_shutdown,apk_socket,apk_socketpair,apk_stat,apk_statfs,apk_swapon,apk_symlink,apk_sync,apk_truncate,apk_umask,apk_unlink,apk_unmount,apk_utimes,apk_write,apk_writev
4465,com.hightech.businesslettermaker,0,0,13,0,0,2,0,0,159,0,0,35,0,0,0,33,2,0,115,0,2,0,0,0,0,0,0,0,0,0,3,49,0,878,2,0,1,0,0,0,0,131,0,0,0,0,0,0,0,0,115,0,3,0,55299,0,0,0,1443,1,2,0,0,0,0,399,0,0,0,0,0,0,0,0,0,118,0,0,0,2,0,0,2,0,0,102296,54
4466,com.hillman.darulhadis,0,0,34,0,0,0,0,0,279,12,2,93,0,0,0,64,6,0,257,0,5,1,0,0,0,0,0,0,0,3,27,86,0,8996,4,0,4,0,1,0,0,321,0,0,0,0,0,0,0,0,143,0,16,3,562960,0,0,0,5955,0,5,0,0,0,6,379,0,0,3,0,0,0,2,12,2,267,0,0,0,5,1,0,4,0,0,223814,64
4467,com.himayatfb.mina_tajassoss,0,0,6,0,0,2,0,0,31,0,0,9,0,0,0,70,0,0,46,0,0,1,0,0,0,0,0,0,0,0,1,40,0,372,1,0,0,2,1,0,0,47,0,0,0,0,0,0,0,0,41,0,10,0,29146,0,0,0,286,7,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,61,0,0,0,0,1,0,1,0,0,3411,28
4468,com.himayathatifika.minatajassoss,0,0,5,0,0,1,0,0,29,0,0,9,0,0,0,40,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,17,0,301,1,0,0,1,1,0,0,48,0,0,0,0,0,0,0,0,43,0,6,0,20906,0,0,0,243,18,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,0,1,0,0,2729,20
4469,com.hin.alas.upay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4470,com.hiox.AdadCalcul,0,0,6,0,0,0,0,0,207,0,0,38,0,0,0,53,4,0,131,0,0,11,0,0,0,0,0,0,0,0,3,2071,0,7059,0,0,2,6,0,0,0,199,0,0,0,0,0,0,0,0,277,0,31,0,203298,0,0,0,11401,5631,1,0,0,0,41,7293,0,0,0,0,0,0,0,0,0,146,0,0,0,0,11,0,0,0,0,188062,3210
4471,com.hisn.almuslim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4472,com.historyisfun.abrahamlincoln,0,0,80,0,0,91,0,0,651,1,0,64,0,56,0,1046,14,0,951,0,7,82,0,0,0,0,0,0,0,0,12,2744,0,6657,64,0,6,49,0,0,0,609,0,0,0,0,0,0,0,0,619,0,184,0,207924,0,0,0,11097,5833,9,0,0,0,95,7568,0,0,1,0,0,0,0,1,0,1182,0,0,0,7,82,0,64,0,0,195946,3140
4473,com.historyisfun.achaemidempire,0,0,55,0,0,57,0,0,624,5,0,183,0,36,0,691,12,0,722,0,3,51,0,0,0,0,0,0,0,1,8,2425,0,4992,43,0,5,39,0,0,0,543,0,0,0,0,0,0,0,0,425,0,129,0,219166,0,0,0,7180,3394,8,0,0,0,47,4631,0,0,3,0,0,0,0,5,0,869,0,0,0,3,51,0,43,0,0,97149,2396
4474,com.historyisfun.ancientmacedonia,0,0,80,0,0,91,0,0,630,4,0,66,0,56,0,1044,14,0,941,0,7,82,0,0,0,0,0,0,0,1,14,2772,0,6185,64,0,6,50,0,0,0,571,0,0,0,0,0,0,0,0,514,0,176,0,229332,0,0,0,9707,5249,8,0,0,0,95,7281,0,0,2,0,0,0,0,4,0,1169,0,0,0,7,82,0,64,0,0,203670,3170
4475,com.historyisfun.arab,0,0,53,0,0,57,0,0,428,0,0,62,0,36,0,663,12,0,638,0,3,49,0,0,0,0,0,0,0,0,7,1944,0,3136,39,0,5,32,0,0,0,383,0,0,0,0,0,0,0,0,469,0,139,0,172561,0,0,0,3498,2067,5,0,0,0,40,3160,0,0,0,0,0,0,0,0,0,781,0,0,0,3,49,0,39,0,0,78796,1856
4476,com.historyisfun.assyria,0,0,78,0,0,89,0,0,641,1,0,80,0,56,0,1039,14,0,901,0,5,89,0,0,0,0,0,0,0,0,10,2994,0,6537,62,0,7,103,0,0,0,565,0,0,0,0,0,0,0,0,629,0,192,0,193705,0,0,0,10996,5669,6,0,0,0,86,7722,0,0,1,0,0,0,0,1,0,1182,0,0,0,5,89,0,62,0,0,187713,2854
4477,com.historyisfun.blackpeople,0,0,57,0,0,63,0,0,647,0,0,178,0,40,0,766,12,0,809,0,3,58,0,0,0,0,0,0,0,0,6,2386,0,4122,47,0,5,41,0,0,0,567,0,0,0,0,0,0,0,0,488,0,133,0,185266,0,0,0,4703,2304,8,0,0,0,32,3552,0,0,0,0,0,0,0,0,0,968,0,0,0,3,58,0,47,0,0,79349,1984
4478,com.historyisfun.cubarevolution,0,0,52,0,0,56,0,0,442,4,0,57,0,36,0,673,12,0,648,0,2,51,0,0,0,0,0,0,0,1,7,2006,0,4383,38,0,5,32,0,0,0,394,0,0,0,0,0,0,0,0,410,0,135,1,204391,0,0,0,6939,3126,4,0,0,0,49,4234,0,0,1,0,0,0,0,4,0,790,0,0,0,2,51,0,38,0,0,97881,2540
